ResultsVersion,ResultsDate,Company,Location,Position,PostingDate,FullDetailsURL,AllQualifications,Applicants,Employment type,Industries,Job function,Seniority level
1,10/08/2021 14h,McKinsey & Company,"Lisbon, Lisbon, Portugal",Data Scientist,2021-08-08,https://linkedin.com/jobs/view/data-scientist-at-mckinsey-company-2577530227,"['Master’s degree in a quantitative field like computer science, engineering, statistics, mathematics or related field; advanced degree is a strong plus', '3+ years of hands-on data scientist mathematical modelling experience in a business environment or equivalent', 'Proficiency in Python, R ', 'Advanced knowledge of statistical and data mining techniques (regression, decision trees, clustering, neural networks, etc.)', 'Experience working in B2B Commercial experience with any of the following sectors Aviation, Energy, Chemical, Medical Devices, Industrial) is required and B2B Pricing experience his highly beneficial', 'Proven experience in working with large datasets and relational databases (SQL)', 'Knowledge of additional programming languages is a plus (C++, Java)', 'Intellectual curiosity along with excellent problem-solving and quantitative skills including the ability to disaggregate issues, identify root causes and recommend solutions', 'Strong leadership skills; ability to inspire others, build strong relationships and create a true followership', 'Result-driven; demonstrates professional attitude', 'Strong people/team orientation skills', 'Distinctive communications skills; ability to communicate analytical and technical content in a comprehensible way']",47 applicants,Full-time,"Automotive, Aviation & Aerospace, and Management Consulting","Consulting, Information Technology, and Marketing",Associate
1,10/08/2021 14h,Celfinet,"Lisbon, Portugal",Data Scientist,2021-08-09,https://linkedin.com/jobs/view/data-scientist-at-celfinet-2674555313,,,,,,
1,10/08/2021 14h,Siemens,"Lisbon, Lisbon, Portugal",Data Scientist (m/f/d),2021-07-08,https://linkedin.com/jobs/view/data-scientist-m-f-d-at-siemens-2671571434,"['Work with large, complex data sets and applying advanced analytical methods as needed', 'Develop custom data models and algorithms to apply to data sets.', 'Run PoCs and Pilots projects to investigate and prove the feasibility and benefits of the proposed solutions', 'Interact with multiple stakeholders (from different levels) and effectively present findings by exploting visual displays of complex quantity information in a simplified way', 'Identify and develop intelligent and innovative data analytics use cases to optimize business processes', 'Actively and proactively perform market/trend scouting to stay up to date on the state-of-the-art technologies', '3-5 yrs expert knowledge in advanced data analytics/data science', ""Master's degree in a quantitative discipline (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering) or related field"", 'Experience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages (e.g., SQL)', 'Experience with statistical and machine learning methods', 'Experience with cloud technologies: Amazon Web Services and/or Microsoft Azure', 'Experience on collecting business requirements and traduce it into solution designs', 'Very good communication and presentation skills', 'Fluency in English']",Be among the first 25 applicants,Full-time,Electrical/Electronic Manufacturing,Information Technology,Mid-Senior level
1,10/08/2021 14h,Siemens,"Lisbon, Lisbon, Portugal",Junior Data Scientist (m/f/d),2021-07-01,https://linkedin.com/jobs/view/junior-data-scientist-m-f-d-at-siemens-2662503811,"['Build predictive and machine learning models with algorithms such as Neural Networks, Decision Trees, Boosting / Ensemble methods, Clustering, etc;', 'Constantly innovate by creating new variables; ', 'Improve modeling techniques to increase model performance;', 'Maintain and refine existing Models and procedures for building high-end analytical modeling processes', 'Data Analysis of large volumes of IoT data.', 'Experience with machine learning, data mining, statistics, or graph algorithms in academic or internship environments', 'Experience using Python, Pandas, Scikit-learn. Deep learning is a plus.', 'Knowledge of a programming language including Python, Java, JavaScript, C#', 'The ability to leverage expertise in data gathering, analytical, and problem-solving work', 'Demonstrate working knowledge of statistics', 'Possess good technical writing skills', 'Excellent attention to detail', 'Excellent oral and written skills in English']",29 applicants,Full-time,Electrical/Electronic Manufacturing,Information Technology,Associate
1,10/08/2021 14h,Tripadvisor,"Lisboa, Lisbon, Portugal",Data Scientist,2021-08-04,https://linkedin.com/jobs/view/data-scientist-at-tripadvisor-2669580375,"['Owns the algorithms exposed on the website and which maximize business objectives ', 'Balances time between long-term projects and real-time firefighting ', 'Collaborates with…', 'Machine learning to improve the user experience ', 'Product to support additional features on the site ', 'Analytics to investigate trends and identify opportunities ', 'Supply to make sure we are operating an efficient marketplace ', 'Traffic to efficiently increase revenue across all channels ', 'Provides weekly and monthly management-level reports, synthesized from numerous sources, focused on measurable impacts. ', 'Focus primarily on our sort and recommendation algorithms ', 'Build solutions to solve quickly concrete business challenges (1 to 3 weeks projects) ', 'Be creative and efficient in the modeling approach (find the simple logic that solves most of the problem) ', 'Interact with many teams to support stakeholders’ projects but also owning your own initiatives ', 'Be autonomous on the steps of a data science projects from concept to implementation: data exploration, modeling, productizing & coordinate work for deployment and integration ', 'An interest to leverage data more to improve YoY revenue than to build the perfect model ', 'Willingness to have direct and visible impact on the business ', 'Preference for MVP + Iteration ', 'Master’s degree in quantitative field ', 'Ability to use SQL; Python a plus ', 'Experience in an analytical role a plus ', 'Excellent problem-solving and analytical skills ', 'Ability to communicate effectively with audiences of various background, level and function. ']",30 applicants,Full-time,"Computer Software, Internet, and Leisure, Travel & Tourism",Engineering and Information Technology,Associate
1,10/08/2021 14h,Tripadvisor,"Lisboa, Lisbon, Portugal",Data Scientist,2021-08-06,https://linkedin.com/jobs/view/data-scientist-at-tripadvisor-2679296181,[],Be among the first 25 applicants,Full-time,"Information Technology and Services, Computer Software, and Internet",Engineering and Information Technology,Entry level
1,10/08/2021 14h,CASAFARI,"Lisbon, Portugal",Product Data Scientist,2021-07-16,https://linkedin.com/jobs/view/product-data-scientist-at-casafari-2646599083,"['Similarity Search: Duplicate listing detection (there can be up to 50 different listings per property with varying metadata)', 'NLP: named entity recognition and information extraction such as types of the property, names of locations, the status of property listings (from text and images), features of the property', 'Computer vision: object identification, image classification, duplicate detection.', 'Outlier and error detection', 'Market analytics and property valuation model', 'Degree or equivalent experience in\xa0a quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc.)', '1+ year of experience in Python, quantitative analytics or data modeling', 'Understanding of relational (SQL/MySQL) and non-relational databases (MongoDB)', 'Deep understanding of predictive modeling, clustering and classification techniques', 'Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)', 'Experience in a fast-paced environment', 'Critical thinking and ability to express and present ideas', 'Hard-working attitude, high working performance, quick learner', 'Mainly remote work with occasional team meetings in Lisbon', 'Cool office in Bairro Alto, with 250 SQ.M. open terrace full of sun and plants', 'Awesome team - the chance to work with smart and ambitious people with various backgrounds from all over the world', 'Free access to CASAFARI platform (helpful if you’re looking for a place to live)', 'Kitchen with fruit and healthy snacks (daily sliced fruit, cereals, rice cookies, peanut butter, peanuts, coffee, teas, milk, almond milk, rice milk, coconut milk)', 'A small library to feed your curiosity', 'Pet-friendly - you can bring your four-legged best friend to the office']",69 applicants,Full-time,,,
1,10/08/2021 14h,SGS,"Lisboa, Lisbon, Portugal",Data Scientist,2021-07-19,https://linkedin.com/jobs/view/data-scientist-at-sgs-2654699121,"['Collaborate with your squad and the network of Data Scientists to develop and deliver digital services with a focus on quick execution, affordability and delivery at scale;', 'Participate in all aspects of agile software development including design, development, implementation, test and deployment;', 'Architect, model, and assist in the development of services to support internal and external business needs;', 'Work across the full data stack, building highly scalable models that enable unique and useful insight into the data;', 'Perform data discovery, preparation, model planning, model building, operation, presentation and visualisation;', 'Plan for a model by using different statistical formulas and visualization tools; ', 'Distribute datasets for training and testing. Techniques like association, classification, and clustering can be applied to the training data sets;', 'Deliver the final baselined model with reports, code, and technical documents. Model should be deployed into a real-time production environment after thorough testing;', 'Communicate key findings to your squad and all relevant stakeholders;', 'Self-document data processes, conduct peer reviews, and give actionable feedback;', 'Work with the company validation- and agile development methodologies, adhering to best practices and pursuing continuous improvement;', 'Actively contribute to the squad rituals such as planning meetings, standups, and retrospects.', 'Bachelor’s degree in computer science or equivalent experience;', 'Possess the ability to manage enormous amounts of data to come up with compelling business visions by using various tools, techniques, methodologies, algorithms, etc;', 'Must have experience using at least one of the following, R, SAS, Python, SQL, Hive, Matlab, Pig, Spark;', 'Knowledge of various DBMS technology such as MySQL, MongoDB, Oracle, SQLServer;', 'Experience working in a lean / agile development environment with remote teams utilizing principles of agile development with continuous integration and deployment, test driven development, and pair programming.']",Be among the first 25 applicants,Full-time,"Business Supplies and Equipment, Consumer Services, and Oil & Energy",Information Technology,Mid-Senior level
1,10/08/2021 14h,BNP Paribas CIB,"Lisbon, Lisbon, Portugal",Quantitative Research - Data Scientist,2021-08-04,https://linkedin.com/jobs/view/quantitative-research-data-scientist-at-bnp-paribas-cib-2642357599,"['One of the following qualifications:', 'Master or PhD degree in Computer Science / Data Science', 'PhD in Science or Engineering, with an interest for Data and Computer Science', 'Participation in Kaggle competitions is a plus', 'Fluency in Computer Science: algorithms, complexity, etc.', 'Experience with Python', 'Experience with common programming languages, compiled (C++, Ada, C#, Java) and scripts (Python, JavaScript, or equivalent) is a plus', 'Wider IT culture: OS, parallelization, network, new languages, etc.', 'Hands on and proactive approach.', 'Accuracy and absolute attention to detail required.', 'Effective problem solver and consensus builder.', 'Ability to prioritize workloads & use a proactive approach to meet deadlines.', 'Be driven, enthusiastic and dynamic in search of improving processes, controls & procedures', 'Excellent communication and interpersonal skills', 'Excellent Team Player', 'Engineering mind-set and culture.', 'Interest in Open Source projects and communities.', 'Fluency in English', 'Leading banking institution', 'Our presence in Portugal', 'International reach', 'Diversity and Inclusion commitment', ' Please note that only applications submitted in English will be considered.', ' In case you are selected for this role, further documentation will be requested to support your hiring process.']",Be among the first 25 applicants,Full-time,"Information Technology and Services, Banking, and Financial Services",Engineering and Information Technology,Entry level
1,10/08/2021 14h,Amgen,"Lisbon, Lisbon, Portugal",Data Scientist,2021-07-14,https://linkedin.com/jobs/view/data-scientist-at-amgen-2672083407,"['Be responsible for Ops support on MDM, fixing bugs and monitor ISM tickets and resolution', 'Responsible for data onboarding, integration, analytics & reporting development', 'Design develop and test system enhancements', 'Train and impart knowledge sharing sessions', 'Maintains data quality with regard to Integrity, completeness, consistency, uniqueness and validity especially on IMS, sales data, forecast data, Multichannel data', 'Help in Building dashboards to present data improvements', 'Design & Solution document for every data integration / onboarding in Datalake', 'Prepare release document, approvals and deployment for every release', 'Create and maintain system interface diagrams, functional designs, and technical specifications', 'Bachelors degree in Computer Science or Similar', 'At least 3 years of relevant development and design experience', 'Experience in doing requirement analysis, design of cloud based ETLs', 'Experience in analyzing large data sets from preferably Veeva and/or SFDC Marketing cloud and/or IQVIA (IMS Health) or similar systems', 'Knowledge of Redshift/Spectrum cloud based databases, ODBC, S3 or equivalent storage system, AWS stack (or similar cloud based platforms) and / or Alteryx', 'Experience working both independently and in a team-oriented collaborative environment', 'Agile mind-set', 'Fluency in written and spoken English.', 'Vast opportunities to learn, develop, and move up and across our global organization.', 'Diverse and inclusive community of belonging, where colleagues are empowered to bring ideas to the table, take risks, and act.', 'Generous Amgen Total Rewards Plan comprising healthcare, finance, wealth and career benefits.', 'Flexible work arrangements.']",Be among the first 25 applicants,Full-time,Biotechnology and Pharmaceuticals,Information Technology,Not Applicable
